description_norm,n_occurrences,n_years,first_year,last_year,sample_text,first_era
lester synod,2,2,1782,1783,Lester Synod:,industrial_1760_1840
lighting paving,2,2,1789,1790,Lighting & Paving,industrial_1760_1840
lista scholari top title partially obscured,2,2,1774,1775,Lista Scholari ... (top title - partially obscured),industrial_1760_1840
little pew,2,2,1774,1775,Little Pew,industrial_1760_1840
little pew quit rents,2,2,1773,1774,Little Pew quit Rents,industrial_1760_1840
little tew ast corn rents,2,2,1785,1786,Little Tew ast Corn Rents,industrial_1760_1840
little tew corn rents,2,2,1796,1797,Little Tew Corn Rents -,industrial_1760_1840
little tew rents,2,2,1801,1802,Little Tew Rents,industrial_1760_1840
little tow corn rents,2,2,1785,1786,Little Tow Corn Rents,industrial_1760_1840
longwitham,2,2,1721,1722,Longwitham.,pre_1760
lt ten corn rents,2,2,1789,1790,Lt Ten Corn Rents,industrial_1760_1840
lt ten old copyholds not corn rents,2,2,1789,1790,"Lt. Ten. old Copyholds, not Corn Rents",industrial_1760_1840
lucas pro quadrien,2,2,1789,1790,Lucas pro Quadrien.,industrial_1760_1840
maii 6to,2,2,1772,1773,Maii 6to,industrial_1760_1840
mar 31 settled with mr martin for merton viz,2,2,1797,1798,"Mar. 31 Settled with Mr. Martin; for Merton, viz.",industrial_1760_1840
march 25 1797,2,2,1796,1797,March. 25. 1797,industrial_1760_1840
masters composition,2,2,1876,1881,Masters Composition,post_1840
mat holt rector,2,2,1721,1722,Mat: Holt Rector,pre_1760
may 1789,2,2,1788,1789,May 1789.,industrial_1760_1840
medenham,2,2,1796,1797,Medenham,industrial_1760_1840
merton,2,2,1710,1866,merton,pre_1760
merton estate due michl 1796,2,2,1796,1797,"Merton Estate, due Michl 1796.",industrial_1760_1840
merton vic,2,2,1733,1737,Merton Vic:,pre_1760
merton vicarage,2,2,1712,1727,Merton Vicarage.,pre_1760
michell exhibition,2,2,1883,1884,Michell Exhibition,post_1840
minhurst,2,2,1721,1722,Minhurst.,pre_1760
miscellania a 2do die novembris 1782 ad eundem diem nov 1783,2,2,1782,1783,Miscellania a 2do die Novembris 1782 ad eundem diem Nov. 1783,industrial_1760_1840
mitchell s pensions,2,2,1759,1760,Mitchell's Pensions,pre_1760
mixed rents,2,2,1798,1799,mixed Rents,industrial_1760_1840
mixed rents money corn variable,2,2,1797,1798,Mixed Rents (Money & Corn) Variable,industrial_1760_1840
mixed rents money farm variable,2,2,1798,1799,Mixed Rents / Money & farm variable,industrial_1760_1840
money rents,2,2,1798,1799,Money Rents,industrial_1760_1840
monkey rents fix d l s d,2,2,1798,1799,"Monkey Rents, fix'd L S D",industrial_1760_1840
morley rents fixed,2,2,1797,1798,"Morley Rents, fixed",industrial_1760_1840
morton,2,2,1721,1722,Morton,pre_1760
morton vicarage,2,2,1721,1722,Morton Vicarage,pre_1760
mountacure,2,2,1721,1722,Mountacure,pre_1760
mountague,2,2,1700,1708,Mountague,pre_1760
mr a rastin balance of merton estate,2,2,1787,1788,Mr. A. Rastin Balance of Merton Estate,industrial_1760_1840
mr hills pensioners,2,2,1703,1706,Mr Hills Pensioners,pre_1760
mr jackson s acct for merton estate,2,2,1778,1779,Mr. Jackson's Acct. for Merton Estate,industrial_1760_1840
mr jackson s acct for merton from mic 1775 to mic 1776,2,2,1776,1777,Mr Jackson's Acct. for Merton from Mic. 1775 to Mic. 1776,industrial_1760_1840
mr martin s acct for merton estate non,2,2,1789,1790,Mr Martin's Acct for Merton Estate non,industrial_1760_1840
mr oswald jackson s account for merton estate,2,2,1773,1774,Mr. Oswald Jackson's Account for Merton Estate,industrial_1760_1840
mr oswald jackson s acct for the merton estate for the year from mich 1773 to mich 1774,2,2,1774,1775,Mr Oswald Jackson's Acct. for the Merton estate for the year from Mich: 1773 to Mich: 1774,industrial_1760_1840
mr oswald jacksons acc for marton estate from mic 1776 to mic 1777,2,2,1776,1777,Mr Oswald Jacksons Accᵗ for Marton Estate from Mic 1776 to Mic 1777,industrial_1760_1840
mr robert martin s account for the merton estate,2,2,1786,1787,Mr. Robert Martin's Account for the Merton Estate,industrial_1760_1840
mr robert martin s account of the horton estate,2,2,1785,1786,Mr. Robert Martin's Account of the Horton Estate,industrial_1760_1840
mr robt harkins act for merton estate to michl 1793 see his last acct acquittance for 1792,2,2,1793,1794,Mr. Robt. Harkins Act for Merton Estate to Michl 1793. See his last Acct & Acquittance for 1792.,industrial_1760_1840
mr robt harlins acct for merton estate from missr 94 to missr 95,2,2,1795,1796,Mr Robt Harlins Acct for Merton Estate from Missr 94 to Missr 95,industrial_1760_1840
mr robt hartens acct for merton estate,2,2,1794,1795,Mr Robt. Hartens Acct. for Merton Estate,industrial_1760_1840
mr robt martin junr,2,2,1789,1790,Mr Robt. Martin. Junr.,industrial_1760_1840
mr robt martin s account for the,2,2,1796,1797,Mr Robt. Martin's Account for the,industrial_1760_1840
n b 1769,2,2,1769,1770,N.B: 1769 -,industrial_1760_1840
n b these two acct paid but not enterd last year,2,2,1772,1773,N.B. These two Acct. paid but not enterd last year.,industrial_1760_1840
n soluta varie 1793,2,2,1792,1793,N Soluta varie. 1793.,industrial_1760_1840
noris 1774,2,2,1773,1774,Noris 1774,industrial_1760_1840
nov 1,2,2,1785,1786,Nov. 1.,industrial_1760_1840
nov 2 1788,2,2,1787,1788,Nov. 2. 1788.,industrial_1760_1840
nov 2 1789 receipts,2,2,1788,1789,Nov: 2 1789. Receipts.,industrial_1760_1840
nov r,2,2,1785,1786,Nov'r:,industrial_1760_1840
nov r 2 1785 computus comprobatus per nos,2,2,1784,1785,Nov^r 2. 1785. Computus comprobatus per nos.,industrial_1760_1840
november 2 1882,2,2,1881,1882,November 2 1882,post_1840
novembris 1779 ad eundem diem revolutum 1780,2,2,1779,1780,Novembris 1779 ad eundem diem revolutum 1780,industrial_1760_1840
oct 12,2,2,1828,1880,Oct.12.,industrial_1760_1840
oct 3,2,2,1780,1781,Oct. 3,industrial_1760_1840
oct 5,2,2,1780,1781,Oct. 5,industrial_1760_1840
october,2,2,1789,1790,October,industrial_1760_1840
october 14,2,2,1794,1795,October 14,industrial_1760_1840
offic comptors approbatus per presentors solicit,2,2,1759,1760,Offic Comptors approbatus per Presentors solicit,pre_1760
open scholarship,2,2,1854,1856,Open Scholarship,post_1840
osborne,2,2,1859,1867,Osborne,post_1840
payments due to college,2,2,1791,1792,Payments due to College,industrial_1760_1840
pecunia recepta,2,2,1787,1788,pecunia recepta,industrial_1760_1840
pensioners,2,2,1709,1710,pensioners,pre_1760
per parce reditus frumentarii,2,2,1792,1793,Per parce reditus frumentarii,industrial_1760_1840
per parva pro reditibus functuaris,2,2,1787,1788,per parva pro reditibus functuaris,industrial_1760_1840
prasentes,2,2,1769,1770,Prasentes,industrial_1760_1840
presentes,2,2,1767,1768,Presentes,industrial_1760_1840
prisoners,2,2,1717,1730,Prisoners,pre_1760
pro 2 do die nov bris 1774,2,2,1773,1774,Pro 2^{do} die Nov^{bris} 1774.,industrial_1760_1840
pro 20 die novembris 1780,2,2,1779,1780,pro 20 Die Novembris 1780,industrial_1760_1840
pro 21 die novembris 1775,2,2,1774,1775,pro 21: Die Novembris 1775,industrial_1760_1840
pro 2do die novembris 1768,2,2,1767,1768,Pro 2do Die Novembris 1768.,industrial_1760_1840
pro 2do die novembris 1776,2,2,1775,1776,"Pro 2do Die Novembris, 1776.",industrial_1760_1840
pro 2do die novembris 1795,2,2,1794,1795,Pro 2do die Novembris 1795.,industrial_1760_1840
pro 2do die novr 1790,2,2,1789,1790,Pro 2do die Novr. 1790.,industrial_1760_1840
pro 2do die novris 1770,2,2,1769,1770,Pro 2do Die Novris 1770,industrial_1760_1840
pro 2do die novris 1773,2,2,1772,1773,Pro 2do Die Novris 1773.,industrial_1760_1840
pro 2o die novembris 1778,2,2,1776,1777,Pro 2o Die Novembris 1778,industrial_1760_1840
pro 3tio die novembris 1777,2,2,1776,1777,Pro 3tio Die Novembris 1777.,industrial_1760_1840
pro computanti,2,2,1779,1780,pro Computanti,industrial_1760_1840
pro parva red frument,2,2,1792,1793,Pro parva red frument.,industrial_1760_1840
pro rectori scholaribus et officiariis,2,2,1749,1846,pro Rectori Scholaribus et Officiariis,pre_1760
pro secundo die novembris 1779,2,2,1778,1779,Pro secundo die Novembris 1779.,industrial_1760_1840
procur redling st newington merton,2,2,1769,1770,Procur: Redling: St Newington & Merton,industrial_1760_1840
q die nov r 1783 ad eundem diem 1784,2,2,1783,1784,"Q Die Nov:r 1783, ad eundem Diem 1784,",industrial_1760_1840
r vivian bur iur,2,2,1786,1787,R. Vivian Bur. Iur.,industrial_1760_1840
rec anni presentis,2,2,1792,1793,Rec. anni presentis,industrial_1760_1840
rec d by mess rs biddulph cocks ridge co bankers in london,2,2,1791,1792,"Rec.d by Mess.rs Biddulph, Cocks, Ridge, & Co. Bankers in London.",industrial_1760_1840
rec t by banker in london,2,2,1789,1790,Rec.t by Banker in London,industrial_1760_1840
recd by messrs biddulph cocks co,2,2,1790,1791,"Recd. by Messrs Biddulph, Cocks, & Co.",industrial_1760_1840
receipts anni praesentis 1746,2,2,1795,1796,Receipts anni praesentis 1746,industrial_1760_1840
receipts anni praesentis 1776,2,2,1775,1776,Receipts Anni praesentis 1776,industrial_1760_1840
receipts anni presentis 1789,2,2,1788,1789,Receipts anni presentis. 1789.,industrial_1760_1840
receipts by biddulph cocks,2,2,1795,1796,Receipts by Biddulph Cocks,industrial_1760_1840
receipts by london bankers v messr biddulph cocks co,2,2,1793,1794,Receipts by London Bankers. v. Messr Biddulph Cocks & Co.,industrial_1760_1840
receipts by mess rs biddulph cocks ridge,2,2,1794,1795,"Receipts by Mess'rs Biddulph, Cocks, & Ridge",industrial_1760_1840
receipts by mess rs biddulph cox,2,2,1799,1800,Receipts By Mess^rs Biddulph Cox,industrial_1760_1840
receipts by messrs biddulph cocks co bankers london,2,2,1797,1798,"Receipts by Messrs. Biddulph Cocks & Co. Bankers, London.",industrial_1760_1840
receipts varia 1795 6,2,2,1795,1796,Receipts varia 1795-6,industrial_1760_1840
received by mess biddulph cocks co bankers in london,2,2,1796,1797,"Received by Mess. Biddulph Cocks, & Co. Bankers in London -",industrial_1760_1840
recep ta,2,2,1790,1791,Recepˡta,industrial_1760_1840
recepta 1785 1786,2,2,1785,1786,Recepta 1785-1786.,industrial_1760_1840
recepta 1789 1790 d nov 2,2,2,1789,1790,Recepta 1789 - 1790. D. Nov: 2:,industrial_1760_1840
recepta 1790 ad nov 1791,2,2,1790,1791,Recepta 1790 ad Nov 1791,industrial_1760_1840
recepta 1791 ad nov 2 1792,2,2,1791,1792,Recepta 1791 ad Nov. 2. 1792.,industrial_1760_1840
recepta 1792 ad nov 2 1793,2,2,1792,1793,Recepta 1792 ad Nov: 2 1793,industrial_1760_1840
recepta 1793 ad 2 nov 1794,2,2,1793,1794,Recepta 1793 ad 2. Nov. 1794,industrial_1760_1840
recepta 1795 usque ad 2dum diem novembris,2,2,1794,1795,Recepta 1795 usque ad 2dum diem Novembris,industrial_1760_1840
recepta 1796 usque ad 2do die novembris,2,2,1795,1796,Recepta 1796 usque ad 2do Die Novembris.,industrial_1760_1840
recepta ann presentis,2,2,1741,1848,Recepta Ann. presentis,pre_1760
recepta anni 1770,2,2,1769,1770,Recepta Anni 1770,industrial_1760_1840
recepta anni pr 1775 contin,2,2,1774,1775,Recepta anni pr: 1775 contin:,industrial_1760_1840
recepta anni pr s 1791,2,2,1790,1791,Recepta anni præs. 1791.,industrial_1760_1840
recepta anni praedicatis,2,2,1798,1799,Recepta anni praedicatis,industrial_1760_1840
recepta anni praesens 1771,2,2,1770,1771,Recepta Anni praesens 1771),industrial_1760_1840
recepta anni praesenti,2,2,1739,1749,Recepta Anni Praesenti,pre_1760
recepta anni praesentis 1772,2,2,1771,1772,Recepta anni praesentis 1772,industrial_1760_1840
recepta anni praesentis 1774,2,2,1773,1774,Recepta Anni praesentis 1774,industrial_1760_1840
recepta anni praesentis 1785,2,2,1784,1785,Recepta anni praesentis 1785.,industrial_1760_1840
recepta anni praesentis 1786 1787,2,2,1786,1787,Recepta anni praesentis. 1786-1787.,industrial_1760_1840
recepta anni praesentis 1789 1790,2,2,1789,1790,Recepta anni praesentis 1789-1790 -,industrial_1760_1840
recepta anni praesentis 1792,2,2,1791,1792,Recepta anni praesentis. 1792.,industrial_1760_1840
recepta anni praesentis 1794,2,2,1793,1794,Recepta anni praesentis 1794.,industrial_1760_1840
recepta anni presentis 1775,2,2,1774,1775,Recepta. Anni presentis 1775,industrial_1760_1840
recepta anni presentis 1776,2,2,1776,1777,Recepta anni presentis 1776.,industrial_1760_1840
recepta anni presentis 1777 1778,2,2,1776,1777,Recepta Anni presentis 1777 - 1778,industrial_1760_1840
recepta anni presentis 1779 to 1780,2,2,1779,1780,Recepta Anni Presentis 1779 to 1780,industrial_1760_1840
recepta anni presentis 1782,2,2,1781,1782,Recepta Anni presentis. 1782.,industrial_1760_1840
recepta anni presentis 1786,2,2,1785,1786,Recepta anni presentis 1786.,industrial_1760_1840
recepta anni presentis 1792 3,2,2,1792,1793,Recepta anni presentis 1792-3.,industrial_1760_1840
recepta anni presentis 1795,2,2,1794,1795,Recepta anni presentis. 1795.,industrial_1760_1840
recepta anni proventis,2,2,1782,1783,Recepta Anni proventis,industrial_1760_1840
recepta annis presentis,2,2,1711,1837,Recepta Annis presentis,pre_1760
recepta hoc anno,2,2,1767,1768,Recepta hoc Anno,industrial_1760_1840
recepta pr hoc anno vd lib rect,2,2,1772,1773,Recepta pr hoc anno vd: lib: Rect,industrial_1760_1840
recepta pro hoc anno ad 2 dum diem novembris 1798,2,2,1797,1798,Recepta pro hoc Anno ad 2.^(dum) diem Novembris 1798,industrial_1760_1840
recepta pro hoc anno ad 2 dum diem novembris 1799,2,2,1798,1799,Recepta pro hoc anno ad 2 dum diem Novembris 1799.,industrial_1760_1840
recepta pro hoc anno ad 2dum diem novembris 1800,2,2,1799,1800,"Recepta pro hoc Anno ad 2dum diem, Novembris 1800",industrial_1760_1840
recepta varia 1785,2,2,1784,1785,Recepta varia. 1785.,industrial_1760_1840
recepta varia 1786,2,2,1785,1786,Recepta varia: 1786.,industrial_1760_1840
recepta varia 1792 3,2,2,1792,1793,Recepta varia 1792-3,industrial_1760_1840
recepte,2,2,1781,1782,Recepte-,industrial_1760_1840
recepte anni 1758 nov 2do ad annum 1759 ad vndem,2,2,1759,1760,Recepte anni 1758 Nov. 2do ad Annum 1759 ad vndem,pre_1760
recepte vera,2,2,1759,1760,Recepte vera,pre_1760
rector,2,2,1809,1866,Rector,industrial_1760_1840
rector s gardens tunc articulos vir,2,2,1785,1786,Rector's Gardens & tunc Articulos vir.,industrial_1760_1840
rett mr martin s acct for merton estate for year to mich 1791,2,2,1791,1792,Rett. Mr. Martin's Acct. for Merton Estate for year to Mich. 1791.,industrial_1760_1840
revenue payments,2,2,1896,1900,Revenue Payments,post_1840
revolutum 1776,2,2,1775,1776,revolutum 1776.,industrial_1760_1840
ric hutchins,2,2,1702,1708,Ric: Hutchins,pre_1760
rob rous doc,2,2,1702,1711,"Rob: Rous, Doc:",pre_1760
robt rous,2,2,1704,1709,Robt. Rous.,pre_1760
rose,2,2,1867,1873,Rose,post_1840
ruton garden,2,2,1782,1783,Ruton Garden,industrial_1760_1840
sa adams,2,2,1704,1705,Sa: Adams,pre_1760
sa adams subr,2,2,1706,1707,Sa: Adams Subr.,pre_1760
sam adams subr,2,2,1708,1715,Sam: Adams Subr.,pre_1760
sam harl a m,2,2,1793,1794,"Sam. Harl, A.M.",industrial_1760_1840
sam newbery decanum,2,2,1767,1768,Sam. Newbery Decanum,industrial_1760_1840
sam newbery s t b bur jun,2,2,1772,1773,Sam: Newbery S.T.B. Bur. jun.,industrial_1760_1840
samson newbery subrectorem,2,2,1778,1779,Samson Newbery Subrectorem,industrial_1760_1840
samsonem newbery subrectorem,2,2,1782,1783,Samsonem Newbery Subrectorem,industrial_1760_1840
sayer olin myner,2,2,1774,1775,Sayer olin Myner.,industrial_1760_1840
scho can car 1 mi regis,2,2,1796,1797,Scho Can Car. 1.mi Regis.,industrial_1760_1840
scholari car 1 mi regis mag ri dupre,2,2,1798,1799,Scholari Car. 1.mi Regis. Mag.ri Dupre,industrial_1760_1840
scholari car 1mi regis maj dupre,2,2,1799,1800,Scholari Car. 1mi Regis (Maj: Dupre),industrial_1760_1840
september,2,2,1794,1795,September,industrial_1760_1840
sobota paria,2,2,1721,1722,Sobota Paria,pre_1760
socio commens,2,2,1750,1751,Socio Commens:,pre_1760
sodden hall,2,2,1721,1722,Sodden Hall,pre_1760
sol schol car pmi,2,2,1795,1796,Sol. Schol. Car. pmi,industrial_1760_1840
solata ordinaria,2,2,1731,1807,Solata Ordinaria.,pre_1760
solate rectori scholaribus officiariis,2,2,1785,1786,Solate Rectori Scholaribus & Officiariis.,industrial_1760_1840
solicitaordinaria,2,2,1793,1794,Solicitaordinaria,industrial_1760_1840
solota sara,2,2,1721,1722,Solota Sara,pre_1760
solula dn rectori scholaribus et officiarius,2,2,1776,1777,Solula Dn. Rectori Scholaribus et Officiarius,industrial_1760_1840
solula scholari cassariensi,2,2,1776,1777,Solula Scholari Cassariensi.,industrial_1760_1840
solut scholari saviensi,2,2,1786,1787,Solut. Scholari Saviensi,industrial_1760_1840
soluta ar schol offi,2,2,1788,1789,Soluta Ar: Schol. & Offi.,industrial_1760_1840
soluta auctori schol offic,2,2,1790,1791,"Soluta Auctori, Schol. & Offic.",industrial_1760_1840
soluta audinaria,2,2,1783,1784,Soluta Audinaria,industrial_1760_1840
soluta bursarii,2,2,1755,1757,Soluta Bursarii,pre_1760
soluta bursariis,2,2,1758,1761,Soluta Bursariis,pre_1760
soluta bursarijs,2,2,1759,1760,Soluta Bursarijs,pre_1760
soluta certa,2,2,1700,1701,Soluta certa,pre_1760
soluta divinia,2,2,1783,1784,Soluta Divinia,industrial_1760_1840
soluta dno rector scholaribus et officiariis,2,2,1770,1771,Soluta Dno Rector Scholaribus et Officiariis.,industrial_1760_1840
soluta dno rectori schol et off,2,2,1854,1855,Soluta Dno. Rectori Schol. et Off.,post_1840
soluta dno rectori scholaribus,2,2,1829,1832,Soluta – dno Rectori. Scholaribus.,industrial_1760_1840
soluta dno rectori scholariis officiariis,2,2,1778,1779,Soluta Dno. Rectori Scholariis & Officiariis,industrial_1760_1840
soluta dno rectori scholarlibus et officiaris,2,2,1774,1775,"Soluta Dno. Rectori, Scholarlibus et Officiaris.",industrial_1760_1840
soluta dno rectori scholasticis officiarijs,2,2,1771,1772,Soluta Dno. Rectori Scholasticis & Officiarijs,industrial_1760_1840
soluta dominis rector scholaribus officiaris,2,2,1782,1783,Soluta Dominis Rector Scholaribus & Officiaris,industrial_1760_1840
soluta ins rector scholaribus officiariis,2,2,1776,1777,"Soluta Ins Rector, Scholaribus, & Officiariis",industrial_1760_1840
soluta jno barton scholarium et officiariis,2,2,1769,1770,Soluta Jno Barton Scholarium et officiariis.,industrial_1760_1840
soluta ordinaria 1771,2,2,1770,1771,Soluta ordinaria 1771,industrial_1760_1840
soluta ordinaria 1785,2,2,1784,1785,Soluta ordinaria. 1785.,industrial_1760_1840
soluta ordinaria 1786,2,2,1785,1786,Soluta ordinaria 1786.,industrial_1760_1840
soluta ordinaria 1787,2,2,1786,1787,Soluta ordinaria 1787.,industrial_1760_1840
soluta ordinaria 1791,2,2,1790,1791,Soluta ordinaria 1791.,industrial_1760_1840
soluta ordinaria 1793,2,2,1792,1793,Soluta ordinaria 1793,industrial_1760_1840
soluta ordinaria 1796,2,2,1795,1796,Soluta ordinaria 1796,industrial_1760_1840
soluta pro rectori scholaribus officialis,2,2,1784,1785,Soluta Pro Rectori Scholaribus & Officialis,industrial_1760_1840
soluta qri schollars officiarii,2,2,1787,1788,Soluta Qri Schollars & officiarii,industrial_1760_1840
soluta rectori schol offici,2,2,1791,1792,"Soluta Rectori, Schol. & offici.",industrial_1760_1840
soluta scholar causieri,2,2,1759,1760,Soluta Scholar Causieri,pre_1760
soluta scholari c ariensi,2,2,1779,1780,Soluta Scholari Cæśariensi,industrial_1760_1840
soluta scholari carriensi,2,2,1780,1781,Soluta Scholari Carriensi,industrial_1760_1840
soluta scholari casaniensi,2,2,1767,1768,Soluta Scholari Casaniensi.,industrial_1760_1840
soluta scholari saminensi,2,2,1784,1785,Soluta Scholari Saminensi:,industrial_1760_1840
soluta scholari sarnensi,2,2,1787,1788,Soluta Scholari Sarnensi,industrial_1760_1840
soluta scholari sarnieci,2,2,1785,1786,Soluta Scholari Sarnieci.,industrial_1760_1840
soluta scholari sarniensi,2,2,1788,1789,Soluta Scholari Sarniensi,industrial_1760_1840
soluta scholari sermii regis car primi,2,2,1794,1795,Soluta Scholari Sermii Regis Car. primi.,industrial_1760_1840
soluta scholari serv regis car primi,2,2,1793,1794,Soluta Scholari Serv. Regis Car. primi,industrial_1760_1840
soluta scholari servis regis car 1mi,2,2,1792,1793,Soluta Scholari. Servis Regis Car. 1mi,industrial_1760_1840
soluta scholaris casamiense,2,2,1769,1770,Soluta Scholaris Casamiense,industrial_1760_1840
soluta scholori copinenni,2,2,1759,1760,Soluta Scholori Copinenni,pre_1760
soluta varia 1766 brod rec,2,2,1795,1796,Soluta Varia 1766 Brod Rec,industrial_1760_1840
soluta varia 1773 1774,2,2,1773,1774,Soluta varia. 1773 - 1774.,industrial_1760_1840
soluta varia 1786,2,2,1785,1786,Soluta varia. 1786.,industrial_1760_1840
soluta varia 1794,2,2,1793,1794,Soluta varia 1794.,industrial_1760_1840
soluta varia contin,2,2,1776,1777,Soluta varia contin:,industrial_1760_1840
soluta varia ut in pag pr cedente,2,2,1775,1776,Soluta varia (ut in Pag. præcedente),industrial_1760_1840
soluta variae,2,2,1776,1777,Soluta variae,industrial_1760_1840
soluta vera,2,2,1759,1760,Soluta vera,pre_1760
solvta varia,2,2,1716,1718,Solvta Varia,pre_1760
south newg vic d frut annum michl,2,2,1759,1760,South Newg: vic d frut: annum: & Michl:,pre_1760
southdurningston,2,2,1721,1722,Southdurningston.,pre_1760
southington pen ty,2,2,1721,1722,Southington Pen'ty,pre_1760
southnewington,2,2,1708,1711,Southnewington,pre_1760
state of the fund for advowsons,2,2,1804,1805,State of the Fund for Advowsons,industrial_1760_1840
stepn weston a m ar s modr,2,2,1771,1772,Stepn Weston A.M. Ar. & S. Modr,industrial_1760_1840
summa omnium receptorum,2,2,1707,1740,Summa Omnium Receptorum,pre_1760
summa receptionum et solutionum,2,2,1838,1868,Summa Receptionum et Solutionum,industrial_1760_1840
summa receptoram et solutorum,2,2,1839,1849,Summa Receptoram et Solutorum,industrial_1760_1840
summa receptoram pro hoc,2,2,1775,1776,Summa Receptoram pro hoc,industrial_1760_1840
summa receptorum,2,2,1759,1760,Summa Receptorum,pre_1760
summa totalis receptorum pro hoc anno,2,2,1779,1780,Summa totalis Receptorum pro hoc Anno,industrial_1760_1840
symes exhibition,2,2,1883,1884,Symes Exhibition,post_1840
synodals procurations,2,2,1838,1860,Synodals & Procurations,industrial_1760_1840
t g hubb bur junr,2,2,1795,1796,T. G. Hubb. Bur: Junr.,industrial_1760_1840
t smyth glubb moderatorum,2,2,1786,1787,T. Smyth Glubb Moderatorum,industrial_1760_1840
ten parva red frument,2,2,1787,1788,Ten parva red. frument.,industrial_1760_1840
tenementa omnia in ter parva,2,2,1790,1791,Tenementa omnia in Ter. parva,industrial_1760_1840
test anno,2,2,1771,1772,Test. Anno.,industrial_1760_1840
test annu,2,2,1759,1760,Test. Annu?,pre_1760
test annunc,2,2,1772,1773,Test. Annunc.,industrial_1760_1840
test d b b,2,2,1759,1760,Test. D.B.B.,pre_1760
test misc,2,2,1759,1760,Test. Misc.,pre_1760
test not,2,2,1759,1760,Test. Not.,pre_1760
testum michls,2,2,1772,1773,Testum Michls,industrial_1760_1840
testum s j bapt,2,2,1772,1773,Testum S. J. Bapt.,industrial_1760_1840
tew parva pro red non frument,2,2,1786,1787,Tew parva pro red. non frument.,industrial_1760_1840
tew parva pro reditibus frumentariis,2,2,1786,1787,Tew parva pro reditibus frumentariis,industrial_1760_1840
the account of the merton estate held by robert harten from michl 1779 to michl 1780,2,2,1780,1781,The Account of the Merton Estate held by Robert Harten from Michl: 1779 to Michl: 1780,industrial_1760_1840
the account of the merton estate held by robert martin from michl 1780 to michl 1781,2,2,1781,1782,"The Account of the Merton Estate, held by Robert Martin from Michl. 1780. to Michl. 1781.",industrial_1760_1840
the college gardener,2,2,1854,1862,The College Gardener -,post_1840
the deductions are as below,2,2,1786,1787,The Deductions are as below,industrial_1760_1840
tho bray doctorem,2,2,1772,1773,Tho Bray Doctorem,industrial_1760_1840
tho bray rectorum,2,2,1774,1775,Tho Bray Rectorum,industrial_1760_1840
tho bray subrectorum,2,2,1759,1760,Tho Bray Subrectorum,pre_1760
tho glubb am,2,2,1788,1789,Tho: Glubb AM.,industrial_1760_1840
tho rennell,2,2,1707,1710,Tho: Rennell,pre_1760
tho skinton rectorum,2,2,1795,1796,"Tho: Skinton, Rectorum",industrial_1760_1840
tho smyth glubb am,2,2,1791,1792,Tho: Smyth Glubb. AM –,industrial_1760_1840
tho smyth glubb bur juniorem,2,2,1793,1794,Tho: Smyth Glubb Bur: Juniorem,industrial_1760_1840
tho smyth glubb sto theol praelectorem,2,2,1792,1793,"Tho: Smyth Glubb, Sto Theol. Praelectorem",industrial_1760_1840
tho stinton arem,2,2,1786,1787,Tho: Stinton Arem,industrial_1760_1840
tho stinton bur juns,2,2,1778,1779,Tho. Stinton Burſ. Juns.,industrial_1760_1840
tho stinton burs janr,2,2,1781,1782,Tho: Stinton Burs. Janr,industrial_1760_1840
tho stinton decanum,2,2,1774,1775,Tho: Stinton Decanum,industrial_1760_1840
tho stinton praem,2,2,1793,1794,Tho: Stinton Praem.,industrial_1760_1840
thomam thornton s t b f m,2,2,1771,1772,Thomam Thornton S.T.B. & F.M.,industrial_1760_1840
thomas bayley sub rector,2,2,1730,1731,Thomas Bayley Sub-Rector,pre_1760
thomas blinton a m et s t b,2,2,1772,1773,Thomas Blinton A.M. et S.T.B.,industrial_1760_1840
thomas bray decanus,2,2,1745,1753,Thomas Bray Decanus,pre_1760
thomas bray subirectorem,2,2,1767,1768,Thomas Bray Subirectorem,industrial_1760_1840
to trust funds,2,2,1883,1884,To Trust Funds,post_1840
total receipts,2,2,1898,1900,Total Receipts,post_1840
tradesmen bills viz,2,2,1846,1849,Tradesmen bills viz,post_1840
turrill,2,2,1860,1861,Turrill,post_1840
verte,2,2,1775,1776,Verte,industrial_1760_1840
vide bad arrears,2,2,1767,1768,Vide bad Arrears,industrial_1760_1840
vide librum stipend dividend,2,2,1795,1796,Vide librum Stipend & Dividend.,industrial_1760_1840
w c jackson,2,2,1894,1898,W.C. Jackson,post_1840
w c jackson f c a,2,2,1884,1900,W. C. Jackson F. C. A.,post_1840
wm robt hasting acct for merton estate from mid 1787 mid 1788,2,2,1788,1789,Wm. Robt. Hasting Acct. for Merton Estate from Mid. 1787 & Mid. 1788,industrial_1760_1840
x langables some curious sea reductus footnote handwritten note,2,2,1774,1775,x Langables. Some curious sea reductus (footnote) (handwritten note),industrial_1760_1840
1833,11,1,1833,1833,1833.,industrial_1760_1840
1825,10,1,1825,1825,1825,industrial_1760_1840
1876,10,1,1876,1876,1876,post_1840
1832,9,1,1832,1832,1832.,industrial_1760_1840
1836,9,1,1836,1836,1836.,industrial_1760_1840
1869,9,1,1869,1869,1869,post_1840
1871,9,1,1871,1871,1871,post_1840
1877,9,1,1877,1877,1877,post_1840
1879,9,1,1879,1879,1879,post_1840
1881,9,1,1881,1881,1881,post_1840
1835,8,1,1835,1835,1835.,industrial_1760_1840
1838,8,1,1838,1838,1838.,industrial_1760_1840
